"","x","y","elev_mean_3x3","elev_sd_3x3","pct_slope_mean_3x3","pct_slope_sd_3x3","tree_vol_mean_3x3","tree_vol_sd_3x3","dist_rivers_mean_3x3","dist_rivers_sd_3x3","dist_dambo_mean","dist_boundary_mean","fence"
"24",611886.324742396,8609438.18714071,655.107604980469,4.6658091545105,16.0418186187744,2.51440834999084,82.1686019897461,15.8685340881348,3180.60107421875,17.3076343536377,1731.13269042969,301.513244628906,0
"25",612895.97042321,8609438.18714071,625.544799804688,4.80619668960571,15.4763841629028,2.21232891082764,39.9190063476562,23.8443508148193,2339.3818359375,17.3211574554443,860.227478027344,187.830795288086,0
"27",614915.261784837,8609438.18714071,598.789733886719,6.05485200881958,20.1920051574707,2.91249775886536,46.0990028381348,22.5353889465332,320.867279052734,16.968053817749,374.3251953125,266.631866455078,0
"28",615924.907465651,8609438.18714071,590.562194824219,4.3893928527832,14.4786624908447,2.73189568519592,47.0943794250488,24.6192531585693,260.867889404297,17.2317905426025,600.100952148438,293.084808349609,0
"64",608857.387699954,8608443.56981065,675.608520507812,5.47766447067261,19.9619064331055,2.63385915756226,54.6787300109863,23.3224029541016,3471.21752929688,17.322566986084,207.378829956055,312.338836669922,0
"65",609867.033380768,8608443.56981065,695.140808105469,5.53559303283691,19.6469116210938,2.59755611419678,78.8192520141602,22.4072284698486,4143.677734375,17.1446208953857,520.76611328125,501.361206054688,0
"66",610876.679061582,8608443.56981065,673.364318847656,4.24302244186401,14.7369575500488,2.44110465049744,96.1482162475586,17.0755844116211,3522.29711914062,17.3209609985352,1276.74096679688,874.744995117188,0
"67",611886.324742396,8608443.56981065,687.539001464844,4.79773092269897,16.5616436004639,2.72189450263977,104.138572692871,16.8985004425049,2757.40649414062,17.3082809448242,1491.71154785156,1066.36328125,0
"68",612895.97042321,8608443.56981065,652.825012207031,5.51673746109009,19.3516006469727,2.99014496803284,93.9836044311523,19.0895709991455,1976.88720703125,17.287540435791,832.31591796875,683.255187988281,0
"69",613905.616104023,8608443.56981065,666.302551269531,4.86534404754639,16.7608032226562,2.58860015869141,43.0413017272949,15.3353242874146,1034.37097167969,17.3026027679443,544.052001953125,592.940185546875,0
"70",614915.261784837,8608443.56981065,607.890380859375,4.87928676605225,16.8441295623779,2.76679110527039,64.4969940185547,21.6616725921631,235.462219238281,16.7596302032471,295.172241210938,1001.84594726562,0
"71",615924.907465651,8608443.56981065,619.862121582031,3.86325240135193,13.1038093566895,2.44254302978516,85.0583572387695,17.3692150115967,617.472045898438,17.234525680542,825.136901855469,979.578796386719,0
